"resource","consumer"
"Serpulid_1","Crustacean_7"
"Serpulid_1","Crustaceon_5"
"Serpulid_1","Crustaceon_6"
"Serpulid_1","Echinoid_1"
"Serpulid_1","Fish_1"
"Serpulid_1","Scaphopod_1"
"Soft_1","Ammonite_2"
"Soft_1","Ammonite_3"
"Soft_1","Belemnite_1"
"Soft_1","Belemnite_2"
"Soft_1","Crustacean_1"
"Soft_1","Crustacean_2"
"Soft_1","Crustacean_7"
"Soft_1","Crustaceon_5"
"Soft_1","Echinoid_1"
"Soft_1","Fish_1"
"Soft_2","Ammonite_1"
"Soft_2","Ammonite_2"
"Soft_2","Ammonite_3"
"Soft_2","Belemnite_1"
"Soft_2","Crustacean_1"
"Soft_2","Crustacean_2"
"Soft_2","Crustacean_4"
"Soft_2","Crustacean_7"
"Soft_2","Crustaceon_5"
"Soft_2","Crustaceon_6"
"Soft_2","Echinoid_1"
"Soft_2","Fish_1"
"Soft_3","Crustacean_1"
"Soft_3","Crustacean_2"
"Soft_4","Crustacean_1"
"Soft_4","Crustacean_2"
"Soft_4","Crustacean_4"
"Soft_5","Crustacean_1"
"Soft_5","Crustacean_2"
"Soft_5","Crustacean_4"
