model,extinction_mechanism,n_rep,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,NDTI,NDCI,resilience,rep
niche,size_ascending,1,20,0.08,3,0.94277345427191,3.5,1.0,1.1719024119600978,1.2064792187448394,0.65,0.9130434782608695,0.15789473684210525,0.5,23
niche,motility_ascending,1,21,0.06349206349206349,3,0.9704850654918418,3.5,1.0,0.6846531968814576,1.284523257866513,0.38095238095238093,0.9047619047619048,0.5348837209302325,0.499054820415879,24
niche,tiering_ascending,1,20,0.08,3,0.954237254104213,4.0,1.0,1.080630907338272,0.8931390532392214,0.65,0.9090909090909091,0.0,0.5,25
niche,calcification_ascending,1,21,0.07256235827664399,4,0.9647443548351485,4.0,1.0,0.8460039339447541,1.2896447548646874,0.5714285714285714,0.7857142857142857,0.34375,0.5,26
niche,random,1,20,0.105,3,0.9237243138260716,3.5,1.0,0.963593148366791,1.0119231901609604,1.15,0.7647058823529411,0.09734513274336283,0.5,27
niche,generality_descending,1,20,0.0475,3,0.923108059514832,4.0,1.0,0.23537557657892522,2.867029320050538,0.0,1.0,1.0,0.49999999999999994,28
niche,vulnerability_descending,1,20,0.09,3,0.9474074135475911,3.625,3.0,0.8756321396137913,0.8756321396137915,0.85,0.8918918918918919,0.15254237288135594,0.5,29
niche,size_descending,1,20,0.105,3,0.9483546547463715,4.333333333333333,1.0,0.8012998152758387,0.8305539040689343,1.15,1.0,0.13043478260869565,0.49999999999999994,30
niche,motility_descending,1,21,0.09523809523809523,3,0.9323843211196179,4.0,1.0,1.02469507659596,1.1510864433221337,1.0476190476190477,1.0,0.15625,0.4990548204158789,31
niche,tiering_descending,1,20,0.09,3,0.9485984278720483,4.333333333333333,1.0,0.8568798135939305,1.1625519195124376,0.85,0.9444444444444444,0.2087912087912088,0.5000000000000001,32
niche,calcification_descending,1,20,0.1075,2,0.941363841230775,3.75,1.0,1.2098200567659678,0.7586567383754113,1.2,0.8604651162790697,-0.23577235772357724,0.5000000000000001,33
niche,generality_ascending,1,20,0.105,3,0.944685578264896,4.166666666666666,3.0,0.7552971624178859,0.8995364203698407,1.15,0.875,0.23809523809523808,0.5,34
niche,vulnerability_ascending,1,20,0.105,3,0.9557658186172423,4.05,1.0,0.8305539040689343,1.023649226828733,1.15,1.0,0.15517241379310345,0.5,35
niche,size_ascending,1,21,0.07936507936507936,3,0.9502751941014931,3.5,1.0,1.2198360545581526,1.1278297743897348,0.7142857142857143,0.9259259259259259,0.05747126436781609,0.5,36
niche,motility_ascending,1,21,0.07936507936507936,3,0.941491690277134,4.0,1.0,0.9736529155710468,1.0620734437881403,0.7142857142857143,0.9310344827586207,0.09090909090909091,0.499054820415879,37
niche,tiering_ascending,1,20,0.0675,2,0.9411982753755734,3.333333333333333,3.0,0.7703628729579685,1.3863199113270233,0.4,1.0,0.5416666666666666,0.5,38
niche,calcification_ascending,1,20,0.0875,3,0.9479715736842679,3.75,1.0,0.6113850030152217,1.0790456060697886,0.8,0.8235294117647058,0.4482758620689655,0.49999999999999994,39
niche,random,1,20,0.0675,4,0.9558537166588101,4.25,1.0,0.5519702373115515,1.2082311018571363,0.4,0.9090909090909091,0.6,0.5000000000000001,40
niche,generality_descending,1,20,0.0475,3,0.923108059514832,4.0,1.0,0.23537557657892522,2.867029320050538,0.0,1.0,1.0,0.49999999999999994,41
