model,extinction_mechanism,n_rep,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,NDTI,NDCI,resilience,rep
random,vulnerability_descending,1,28,0.07397959183673469,2,0.8030365026550015,2.3125,1.0,0.4140059052640643,3.144947455760357,1.1071428571428572,-1.0,0.9918533604887984,0.49999999999999994,81
random,size_descending,1,20,0.1025,2,0.8288786331287634,3.4,1.0,0.5589907397901778,2.504762363380991,1.1,-1.0,0.8938053097345132,0.5000000000000001,82
random,motility_descending,1,20,0.1525,2,0.7414411236545883,2.375,1.0,0.30967647258633857,2.173469722834181,2.1,-1.0,1.0,0.5000000000000001,83
random,tiering_descending,1,34,0.054498269896193774,1,0.8154048570647631,1.9791666666666665,1.0,0.4814682670012142,3.6169647939300646,0.8823529411764706,-1.0,0.9940828402366864,0.5,84
random,calcification_descending,1,20,0.115,2,0.8157506308643525,2.5,1.0,0.4014697899463647,2.480046728981643,1.35,-1.0,0.9127272727272727,0.5000000000000001,85
random,generality_ascending,1,20,0.1225,1,0.7950591944384476,2.083333333333333,1.0,0.20833379001389402,2.583064054252529,1.5,-1.0,1.0,0.5,86
random,vulnerability_ascending,1,20,0.2825,2,0.7808201287500534,4.592997368953652,1.0,0.46394146526077384,1.313574601880281,4.7,-0.9649122807017544,0.8293515358361775,0.5000000000000001,87
random,size_ascending,1,20,0.215,3,0.6456113176515661,3.266666666666667,1.0,0.2931961177285318,1.7952143835093393,3.35,-1.0,1.0,0.5000000000000001,88
random,motility_ascending,1,20,0.09,1,0.7012897693653998,1.6666666666666665,1.0,0.2279951893522565,3.098973818289813,0.85,-1.0,1.0,0.5000000000000001,89
random,tiering_ascending,1,20,0.28,2,0.723891415835657,3.971938775510203,1.0,0.2680137386862793,1.4741324889775262,4.65,-1.0,1.0,0.5000000000000001,90
random,calcification_ascending,1,20,0.21,4,0.7502924588448677,3.0543259557344062,1.0,0.3590176356785962,1.730085916627138,3.25,-0.9710144927536232,0.9432989690721649,0.5,91
random,random,1,20,0.155,2,0.7591370791524268,3.0400000000000005,1.0,0.32930179711873575,2.1369406035772363,2.15,-1.0,0.9863481228668942,0.5000000000000001,92
random,generality_descending,1,20,0.1275,2,0.740515312765141,2.75,1.0,0.2977077076534307,2.445628832527746,1.6,-1.0,0.9927536231884058,0.5000000000000001,93
random,vulnerability_descending,1,28,0.07397959183673469,2,0.8030365026550015,2.3125,1.0,0.4140059052640643,3.144947455760357,1.1071428571428572,-1.0,0.9918533604887984,0.49999999999999994,94
random,size_descending,1,20,0.09,2,0.7906243735256292,3.3749999999999996,1.0,0.42653994219439695,2.8760398012321744,0.85,-1.0,0.9726027397260274,0.5,95
random,motility_descending,1,20,0.1225,2,0.7342997574706435,2.083333333333333,1.0,0.28013581271561616,2.521222314440546,1.5,-1.0,1.0,0.5,96
random,tiering_descending,1,34,0.054498269896193774,1,0.8154048570647631,1.9791666666666665,1.0,0.4814682670012142,3.6169647939300646,0.8823529411764706,-1.0,0.9940828402366864,0.5,97
random,calcification_descending,1,20,0.1675,2,0.7156608126840933,2.8,1.0,0.3104447398487336,2.0687438841108348,2.4,-1.0,0.935656836461126,0.5,98
random,generality_ascending,1,20,0.1225,1,0.7950591944384476,2.083333333333333,1.0,0.20833379001389402,2.583064054252529,1.5,-1.0,1.0,0.5,99
random,vulnerability_ascending,1,20,0.2825,2,0.7808201287500534,4.592997368953652,1.0,0.46394146526077384,1.313574601880281,4.7,-0.9649122807017544,0.8293515358361775,0.5000000000000001,100
random,size_ascending,1,20,0.2075,3,0.7277521338992843,3.0349206349206352,1.0,0.3432316230630027,1.7729145616874626,3.2,-1.0,1.0,0.5000000000000001,101
random,motility_ascending,1,21,0.14285714285714285,2,0.7863248232702772,2.9,1.0,0.36514837167011077,2.2085691697969927,2.0476190476190474,-1.0,0.9113573407202216,0.5,102
random,tiering_ascending,1,20,0.2825,2,0.7070810242617747,3.971938775510203,1.0,0.28869238716940426,1.4564248696864432,4.7,-1.0,1.0,0.5000000000000001,103
random,calcification_ascending,1,24,0.1267361111111111,2,0.8263553013557497,2.8666666666666663,1.0,0.5082076995504237,2.224487945254845,2.0833333333333335,-1.0,0.9020979020979021,0.5000000000000001,104
random,random,1,20,0.1325,2,0.6221684790653397,2.5,1.0,0.28119238504550736,2.4555786297429294,1.7,NaN,1.0,0.5000000000000001,105
random,generality_descending,1,20,0.1275,2,0.740515312765141,2.75,1.0,0.2977077076534307,2.445628832527746,1.6,-1.0,0.9927536231884058,0.5000000000000001,106
random,vulnerability_descending,1,28,0.07397959183673469,2,0.8030365026550015,2.3125,1.0,0.4140059052640643,3.144947455760357,1.1071428571428572,-1.0,0.9918533604887984,0.49999999999999994,107
random,size_descending,1,20,0.1025,2,0.8288786331287634,3.4,1.0,0.5589907397901778,2.504762363380991,1.1,-1.0,0.8938053097345132,0.5000000000000001,108
random,motility_descending,1,20,0.115,1,0.7880340553828423,2.083333333333333,1.0,0.20441841129635963,2.6953568894150703,1.35,-1.0,1.0,0.5,109
