model,extinction_mechanism,n_rep,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,NDTI,NDCI,resilience,rep
lmatrix,tiering_descending,1,24,0.16319444444444445,2,0.8557693482103109,3.8000000000000007,1.0,1.007070483103773,1.3675291605231743,2.9583333333333335,-0.1504424778761062,0.23124042879019907,0.5,45
lmatrix,calcification_descending,1,21,0.19047619047619047,2,0.8202224110215375,3.875,3.0,1.3110110602126894,1.1096170510586074,3.0476190476190474,-0.44537815126050423,-0.14130434782608695,0.5,46
lmatrix,generality_ascending,1,25,0.1648,2,0.8220293691924595,4.000000000000002,3.0,1.077115808455833,1.3410422979787435,3.16,-0.5700934579439252,0.17195767195767195,0.5000000000000001,47
lmatrix,vulnerability_ascending,1,20,0.175,2,0.8472421461274442,3.454545454545454,3.0,1.0217821040216053,1.1143049930855857,2.55,0.4492753623188406,0.05707196029776675,0.5,48
lmatrix,size_ascending,1,29,0.13198573127229488,2,0.8169520681965248,3.944444444444443,3.0,1.3896211271396328,1.4174115095602144,2.8620689655172415,-0.509090909090909,0.016736401673640166,0.5,49
lmatrix,motility_ascending,1,21,0.17913832199546487,2,0.8579348152826166,3.980392156862745,3.0,1.1944431505909316,1.2236650656604533,2.8095238095238093,-0.42105263157894735,0.02127659574468085,0.5,50
lmatrix,tiering_ascending,1,20,0.2125,2,0.8260992556533832,3.9166666666666665,3.0,0.8898545918756656,1.2067315593262251,3.3,-0.4961832061068702,0.2446351931330472,0.5,51
lmatrix,calcification_ascending,1,20,0.195,2,0.8130131777155463,4.023076923076923,3.0,1.1524207720125248,1.109587522483408,2.95,-0.5909090909090909,-0.03070175438596491,0.5,52
lmatrix,random,1,20,0.23,2,0.8454759743356745,3.880000000000001,3.0,1.0303329131157402,0.9909550149264094,3.65,-0.4716981132075472,-0.031496062992125984,0.49999999999999994,53
lmatrix,generality_descending,1,20,0.1125,2,0.8626636137441056,3.0,3.0,0.7191793749540683,1.771186611934213,1.3,1.0,0.5431034482758621,0.5,54
lmatrix,vulnerability_descending,1,29,0.13198573127229488,2,0.8169520681965248,3.944444444444443,3.0,1.3896211271396328,1.4174115095602144,2.8620689655172415,-0.509090909090909,0.016736401673640166,0.5,55
lmatrix,size_descending,1,20,0.1175,2,0.8530577068819928,3.0,3.0,0.7341277520057665,1.7203670027621707,1.4,1.0,0.5141700404858299,0.5,56
lmatrix,motility_descending,1,20,0.175,2,0.8473155638385838,4.155555555555557,3.0,1.1707131503249277,1.238480757406495,2.55,-0.5555555555555556,0.04909560723514212,0.5,57
