id,model,richness,connectance,complexity,distance,basal,top,S1,S2,S4,S5
German,bodymassratio,19,0.0997229916897507,0.9090635183569666,3.0,5.0,6.0,52.0,8.0,36.0,38.0
Healy,adbm,19,0.16066481994459833,0.8897030402297872,2.0,4.0,3.0,88.0,17.0,83.0,122.0
Healy,niche,19,0.06371191135734072,0.9543056913604863,2.0,7.0,7.0,6.0,4.0,6.0,12.0
Healy,bodymassratio,19,0.13850415512465375,0.9178178686831666,1.0,2.0,2.0,110.0,23.0,44.0,40.0
Kyeburn,adbm,20,0.105,0.8883774517149841,2.0,9.0,5.0,31.0,14.0,65.0,72.0
Kyeburn,niche,20,0.08,0.9522028301978063,2.0,7.0,1.0,19.0,2.0,22.0,20.0
Kyeburn,bodymassratio,20,0.1275,0.9248423290720309,5.0,2.0,3.0,102.0,16.0,47.0,51.0
Little,adbm,15,0.057777777777777775,0.8674518650710163,3.0,10.0,10.0,1.0,1.0,14.0,11.0
Little,niche,15,0.035555555555555556,0.9697308656714674,2.0,10.0,8.0,1.0,1.0,0.0,3.0
Little,bodymassratio,15,0.1111111111111111,0.920487949326573,3.0,5.0,5.0,32.0,6.0,22.0,31.0
Narrowdale,adbm,16,0.0,0.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0
Narrowdale,niche,16,0.12109375,0.879088530546427,2.0,7.0,3.0,21.0,9.0,12.0,28.0
Narrowdale,bodymassratio,16,0.10546875,0.9323059985549563,3.0,2.0,4.0,35.0,4.0,20.0,27.0
NorthCol,adbm,22,0.1012396694214876,0.838501808499291,2.0,11.0,11.0,40.0,17.0,100.0,80.0
NorthCol,niche,22,0.11983471074380166,0.8942963331661002,2.0,7.0,0.0,14.0,9.0,35.0,41.0
NorthCol,bodymassratio,22,0.1384297520661157,0.8782600992811379,3.0,6.0,4.0,85.0,36.0,113.0,120.0
Powder,adbm,23,0.11720226843100189,0.8704270935007976,2.0,12.0,4.0,87.0,13.0,75.0,166.0
Powder,niche,23,0.1285444234404537,0.886997393123924,2.0,7.0,4.0,65.0,23.0,50.0,119.0
Powder,bodymassratio,23,0.13799621928166353,0.8931098447343216,4.0,5.0,4.0,181.0,43.0,90.0,104.0
Stony,adbm,26,0.07840236686390532,0.864644668878145,2.0,16.0,6.0,36.0,2.0,108.0,148.0
Stony,niche,26,0.08284023668639054,0.8991672186033275,2.0,7.0,9.0,60.0,9.0,40.0,38.0
Stony,bodymassratio,26,0.15384615384615385,0.8914002235427694,4.0,3.0,4.0,305.0,61.0,192.0,204.0
Sutton,adbm,24,0.09722222222222222,0.9171005430691234,2.0,9.0,3.0,55.0,17.0,81.0,168.0
Sutton,niche,24,0.10243055555555555,0.8929758563032548,2.0,10.0,3.0,19.0,5.0,37.0,59.0
Sutton,bodymassratio,24,0.14583333333333334,0.8872637189769249,4.0,3.0,2.0,184.0,36.0,158.0,150.0
Venlaw,adbm,22,0.049586776859504134,0.9657362914531948,2.0,18.0,4.0,18.0,6.0,0.0,63.0
Venlaw,niche,22,0.1012396694214876,0.9241364809232103,2.0,7.0,4.0,45.0,10.0,16.0,39.0
Venlaw,bodymassratio,22,0.09504132231404959,0.929419880072325,5.0,4.0,3.0,83.0,12.0,35.0,38.0
AkatoreB,adbm,15,0.07555555555555556,0.8337806677021394,1.0,7.0,11.0,9.0,3.0,26.0,10.0
AkatoreB,niche,15,0.07555555555555556,0.9359676474337832,2.0,8.0,8.0,5.0,1.0,12.0,18.0
AkatoreB,bodymassratio,15,0.17777777777777778,0.8678783631421758,2.0,5.0,1.0,54.0,12.0,43.0,66.0
Berwick,adbm,25,0.0384,0.8468168687742155,2.0,21.0,12.0,3.0,1.0,13.0,70.0
Berwick,niche,25,0.0832,0.9228960718695142,2.0,10.0,3.0,39.0,9.0,32.0,67.0
Berwick,bodymassratio,25,0.1376,0.8879722065198379,3.0,5.0,5.0,217.0,46.0,148.0,118.0
Blackrock,adbm,21,0.10204081632653061,0.8801958854114242,2.0,6.0,14.0,18.0,16.0,141.0,44.0
Blackrock,niche,21,0.13151927437641722,0.8821764433526628,3.0,10.0,1.0,12.0,12.0,27.0,56.0
Blackrock,bodymassratio,21,0.1383219954648526,0.9107459272485777,3.0,4.0,2.0,108.0,23.0,81.0,114.0
Broad,adbm,25,0.1056,0.8574503814893831,2.0,13.0,5.0,49.0,23.0,176.0,144.0
Broad,niche,25,0.1232,0.8772809443586769,2.0,9.0,1.0,51.0,8.0,69.0,104.0
Broad,bodymassratio,25,0.1248,0.8897548604211098,4.0,4.0,4.0,175.0,17.0,152.0,151.0
Canton,adbm,23,0.11531190926275993,0.8234396585241044,2.0,13.0,9.0,24.0,5.0,152.0,167.0
Canton,niche,23,0.09073724007561437,0.9339711188418729,3.0,9.0,2.0,0.0,0.0,5.0,3.0
Canton,bodymassratio,23,0.14177693761814744,0.89343369868847,3.0,4.0,7.0,191.0,30.0,132.0,113.0
Catlins,adbm,20,0.07,0.8913012321659867,2.0,14.0,4.0,21.0,3.0,19.0,53.0
Catlins,niche,20,0.095,0.9207753744195133,2.0,8.0,4.0,19.0,1.0,7.0,19.0
Catlins,bodymassratio,20,0.11,0.9106956713084214,3.0,4.0,6.0,89.0,9.0,45.0,38.0
