model,time,n_rep,param_set,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
ADBM,G4,1,baseline,44,0.30578512396694213,1,0.7655392856476928,3.9634996495108674,2.0,0.8186596329022411,0.9208706212079729,12.477272727272727,0.0,1.5625,2.0464876033057853,1.6890495867768596
BMR,G1,2,strict_threshold,47,0.11951109099139882,8,0.8886176438543728,42.352620297512,5.0,0.6228883960122334,0.6349396279469895,4.638297872340425,0.6704391127206881,0.006337709370755998,0.40199185151652334,0.397012222725215
BMR,G1,2,narrow_niche,47,0.14938886373924853,8,0.8730270899141026,2.871040775613091e17,1.0,0.5044114094312964,0.4955920201870794,6.042553191489362,1.104572204617474,0.004074241738343142,0.5717519239474875,0.5762788592123133
BMR,G1,2,wide_niche,47,0.09053870529651425,10,0.9096625397556423,22.09317839265567,4.0,0.643514467254014,0.7582767935603555,3.276595744680851,0.34314169307378906,0.025803531009506563,0.22996831145314622,0.19963784517881394
BMR,G1,2,relaxed_threshold,47,0.1009506564056134,9,0.9003908208746365,0.8765953471176711,1.0,0.6159920157137955,0.7643087918552817,3.765957446808511,0.5033952014486193,0.010864644635581712,0.31507469443186964,0.2670891806247171
BMR,G1,2,baseline,47,0.12403802625622454,9,0.8839153444170827,1.5538012162867996e16,1.0,0.5498355728462048,0.6020344471384561,4.851063829787234,0.6278859212313264,0.02082390221819828,0.4069714803078316,0.38569488456315076
BMR,G1,2,shifted_optimum_low,47,0.13263920325939338,9,0.8844928572036972,27.298919426752164,6.0,0.5280213245998697,0.5766337387265902,5.25531914893617,0.6278859212313264,0.09370755998189226,0.3879583521955636,0.36622906292440016
BMR,G1,2,shifted_optimum_high,47,0.11905839746491625,9,0.8859607264059248,4.503467383224113e16,1.0,0.5118204292420694,0.6050621201799334,4.617021276595745,0.6446355817111815,0.0022634676324128564,0.390674513354459,0.3567224988682662
ADBM,G1,2,biomass_driven,47,0.24354911724762335,2,0.789393638563745,4.178050757474151,3.0,0.6976512469863192,0.8498881572722577,10.46808510638298,0.8569488456315074,0.46944318696242643,1.7881394296061566,1.466727025803531
ADBM,G1,2,high_attack,47,0.3028519692168402,1,0.7790154514733747,3.8598987524680464,2.0,0.8312853097555319,0.9318203272152138,13.25531914893617,0.0,1.7138976912630148,2.1217745586238115,1.7478497057492077
ADBM,G1,2,low_attack,47,0.3028519692168402,1,0.7790154514733747,3.8598987524680464,2.0,0.8312853097555319,0.9318203272152138,13.25531914893617,0.0,1.7138976912630148,2.1217745586238115,1.7478497057492077
ADBM,G1,2,power_handling,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
ADBM,G1,2,high_handling,47,0.3028519692168402,1,0.7790154514733747,3.8598987524680464,2.0,0.8312853097555319,0.9318203272152138,13.25531914893617,0.0,1.7138976912630148,2.1217745586238115,1.7478497057492077
ADBM,G1,2,low_handling,47,0.3028519692168402,1,0.7790154514733747,3.8598987524680464,2.0,0.8312853097555319,0.9318203272152138,13.25531914893617,0.0,1.7138976912630148,2.1217745586238115,1.7478497057492077
ADBM,G1,2,strict_ratio,47,0.24988682661837935,1,0.7852505372366876,3.313766762223283,2.0,0.9043135298579763,1.068408152675617,10.76595744680851,0.0,0.8995020371208692,2.082390221819828,1.6174739701222272
ADBM,G1,2,relaxed_ratio,47,0.38071525577184245,1,0.7501286265751275,4.399572128031431,2.0,0.7295222522661235,0.765579748948349,16.914893617021278,0.0,3.448619284744228,1.7211407876867362,1.5414214576731553
ADBM,G1,2,baseline,47,0.3028519692168402,1,0.7790154514733747,3.8598987524680464,2.0,0.8312853097555319,0.9318203272152138,13.25531914893617,0.0,1.7138976912630148,2.1217745586238115,1.7478497057492077
