time,n_rep,param_set,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
G2,83,relaxed_threshold,20,0.0925,4,0.9240344112879564,5.111111111111112,1.0,0.614436800955963,0.9159016651436914,0.9,0.1525,0.0025,0.105,0.0675
G2,83,baseline,20,0.1325,4,0.9391595514489582,5.037037037037037,5.0,0.5906594657546613,0.7167720387108399,1.7,0.2875,0.005,0.19,0.1625
G2,83,shifted_optimum_low,20,0.14,4,0.8984255708064155,5.391666666666667,1.0,0.7010043431758823,0.7383175346386454,1.85,0.2675,0.05,0.1775,0.1675
G2,83,shifted_optimum_high,20,0.1175,4,0.9147699256632804,5.006944444444444,5.0,0.6515971730221792,0.7596480213821979,1.4,0.2425,0.0,0.155,0.135
G3,83,strict_threshold,28,0.11607142857142858,6,0.9022916805550046,10.942759407069557,3.0,0.6074993382535679,0.9680406929755738,2.2857142857142856,0.31505102040816324,0.002551020408163265,0.29846938775510207,0.1951530612244898
G3,83,narrow_niche,28,0.1441326530612245,5,0.8715132022960691,7.766502796887276,3.0,0.6012394754773319,0.8543307946757456,3.0714285714285716,0.5063775510204082,0.008928571428571428,0.4145408163265306,0.3112244897959184
G3,83,wide_niche,28,0.09438775510204081,6,0.9321905763977002,7.431307870370371,4.0,0.6690971036982754,0.6769757262796131,1.6785714285714286,0.274234693877551,0.01403061224489796,0.11862244897959184,0.11734693877551021
G3,83,relaxed_threshold,28,0.10204081632653061,6,0.9004197487427447,5.1249166666666675,1.0,0.6440611887195307,0.8288769734025895,1.8928571428571428,0.24744897959183673,0.011479591836734694,0.1798469387755102,0.14158163265306123
G3,83,baseline,28,0.13137755102040816,4,0.902596166626865,5.092666666666667,1.0,0.6013150511534766,0.6280318634695853,2.7142857142857144,0.4119897959183674,0.01020408163265306,0.2576530612244898,0.25
G3,83,shifted_optimum_low,28,0.13392857142857142,4,0.883391235036168,5.421975308641974,1.0,0.626966043540706,0.7352388262920034,2.7857142857142856,0.39285714285714285,0.06760204081632654,0.24744897959183673,0.21173469387755103
