model,extinction_mechanism,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,redundancy,S1,S2,S4,S5,robustness,r50,rep
adbm,vulnerability_descending,15,38,0.1688888888888889,6,0.828224405976748,3.0,1.0,9.0,1.8073922282301278,3.461351236287988,24.0,33.0,0.0,113.0,52.0,0.3035714285714286,0.0625,563
adbm,size_descending,20,19,0.0475,2,0.9870202151309723,3.0,1.0,18.0,0.22360679774997896,3.03445130737702,0.0,12.0,0.0,87.0,0.0,0.5101950354609928,0.5208333333333334,564
adbm,motility_descending,20,30,0.075,6,0.9077020135531682,3.0,1.0,14.0,1.1002392084403616,3.576237364075618,11.0,25.0,1.0,128.0,18.0,0.5608974358974357,0.5208333333333334,565
adbm,calcification_descending,20,27,0.0675,6,0.9411717087287115,3.0,1.0,14.0,0.9880869341680842,3.216323497738569,8.0,21.0,0.0,103.0,14.0,0.5135869565217391,0.5208333333333334,567
adbm,generality_ascending,10,18,0.18,4,0.8348357435857526,3.0,1.0,6.0,1.1352924243950933,2.4404006956964173,9.0,15.0,0.0,34.0,13.0,0.5711805555555556,0.5208333333333334,568
adbm,vulnerability_ascending,20,36,0.09,10,0.9039387084988539,3.0,1.0,10.0,2.041671142136162,3.071087583799658,17.0,27.0,2.0,102.0,52.0,0.5101950354609928,0.5208333333333334,569
adbm,size_ascending,12,15,0.10416666666666667,3,0.910799216649614,3.0,1.0,9.0,0.621581560508061,2.7344602259445514,4.0,13.0,0.0,43.0,4.0,0.39004629629629634,0.10416666666666667,570
adbm,motility_ascending,20,30,0.075,6,0.9077020135531682,3.0,1.0,14.0,1.1002392084403616,3.576237364075618,11.0,25.0,1.0,128.0,18.0,0.5608974358974357,0.5208333333333334,571
adbm,calcification_ascending,20,27,0.0675,5,0.8850835267344528,3.0,1.0,15.0,0.8750939799154207,3.5135077688978096,8.0,23.0,0.0,122.0,12.0,0.5545634920634922,0.5208333333333334,573
bodymassratio,random,20,73,0.1825,13,0.8706758466309112,1.0,1.0,6.0,2.814903943392441,4.344082484435458,54.0,68.0,36.0,240.0,136.0,0.5274621212121213,0.5208333333333334,574
bodymassratio,generality_descending,20,28,0.07,4,0.8687720716406014,1.0,1.0,15.0,0.8207826816681233,3.2183683345512373,9.0,17.0,0.0,104.0,12.0,0.5101950354609928,0.5208333333333334,575
bodymassratio,vulnerability_descending,16,39,0.15234375,11,0.9103244189792535,1.0,1.0,2.0,2.365551380404436,3.2653483734511393,24.0,37.0,15.0,93.0,55.0,0.5815972222222223,0.20833333333333334,576
bodymassratio,size_descending,14,26,0.1326530612244898,10,0.9071472162398335,2.0,2.0,2.0,2.4133329285815135,2.507132682112035,13.0,18.0,8.0,44.0,41.0,0.6398809523809526,0.2708333333333333,577
bodymassratio,motility_descending,20,68,0.17,15,0.8957232758463192,1.0,1.0,2.0,3.362330019182343,2.8172401575412698,49.0,82.0,34.0,123.0,155.0,0.5777243589743587,0.5,578
bodymassratio,calcification_descending,20,69,0.1725,15,0.9162349895332524,1.0,1.0,2.0,3.1867323637065503,3.086046696102688,50.0,84.0,41.0,134.0,140.0,0.5787037037037038,0.4791666666666667,580
bodymassratio,generality_ascending,19,60,0.16620498614958448,15,0.8711431340002306,1.0,1.0,2.0,3.715779533807092,3.60960382397873,42.0,39.0,41.0,141.0,148.0,0.5340447154471545,0.4791666666666667,581
bodymassratio,vulnerability_ascending,20,55,0.1375,11,0.8469657288636782,3.0,1.0,8.0,3.1267100584278174,3.160196529531535,36.0,44.0,0.0,143.0,141.0,0.5101950354609928,0.5208333333333334,582
bodymassratio,size_ascending,20,42,0.105,9,0.8571774879953448,3.0,1.0,11.0,2.04939015319192,3.275105462343722,23.0,32.0,0.0,125.0,63.0,0.5101950354609928,0.5208333333333334,583
bodymassratio,motility_ascending,20,68,0.17,15,0.8957232758463192,1.0,1.0,2.0,3.362330019182343,2.8172401575412698,49.0,82.0,34.0,123.0,155.0,0.5777243589743587,0.5,584
bodymassratio,calcification_ascending,20,78,0.195,15,0.8844537867196541,1.0,1.0,2.0,3.6692176134343466,3.4012381646441017,59.0,92.0,56.0,167.0,185.0,0.5164728682170538,0.4583333333333333,586
lmatrix,random,20,25,0.0625,6,0.9240242790333406,3.0,1.0,14.0,0.9665456669582609,3.024026594146497,6.0,13.0,0.0,90.0,12.0,0.4229651162790699,0.3125,587
lmatrix,generality_descending,20,19,0.0475,2,0.9954423329744269,2.0,1.0,18.0,0.22360679774997896,2.964260802504253,0.0,8.0,0.0,83.0,0.0,0.5528846153846152,0.5208333333333334,588
lmatrix,vulnerability_descending,20,25,0.0625,5,0.9748321546331052,3.0,1.0,15.0,0.9665456669582609,3.795773272581241,6.0,8.0,0.0,140.0,12.0,0.26666666666666666,0.0625,589
lmatrix,size_descending,20,19,0.0475,2,0.9253368243707146,3.0,1.0,18.0,0.22360679774997896,3.42552339450715,0.0,4.0,0.0,111.0,0.0,0.5101950354609928,0.5208333333333334,590
lmatrix,motility_descending,20,24,0.06,5,0.9255617028447921,3.0,1.0,15.0,0.7677718959499144,2.930780388260186,5.0,15.0,0.0,84.0,8.0,0.5707799145299143,0.5208333333333334,591
lmatrix,calcification_descending,20,20,0.05,3,0.9029588348976945,3.0,1.0,17.0,0.3244428422615251,2.919985580353726,1.0,11.0,0.0,81.0,1.0,0.5144927536231885,0.5208333333333334,593
lmatrix,generality_ascending,20,25,0.0625,5,0.9777124620870026,3.0,1.0,15.0,0.9665456669582609,2.9535883617265144,6.0,17.0,0.0,86.0,12.0,0.5571581196581195,0.5208333333333334,594
lmatrix,vulnerability_ascending,20,33,0.0825,8,0.9346019568630157,3.0,1.0,12.0,1.8715318802914813,2.92493814599467,14.0,24.0,0.0,92.0,44.0,0.5101950354609928,0.5208333333333334,595
lmatrix,size_ascending,20,21,0.0525,3,0.867473100758288,3.0,1.0,17.0,0.39403446282620613,3.4255233945071497,2.0,6.0,0.0,112.0,2.0,0.32870370370370383,0.125,596
lmatrix,motility_ascending,20,24,0.06,5,0.9255617028447921,3.0,1.0,15.0,0.7677718959499144,2.930780388260186,5.0,15.0,0.0,84.0,8.0,0.5707799145299143,0.5208333333333334,597
lmatrix,calcification_ascending,20,21,0.0525,3,0.9341537789904963,3.0,1.0,17.0,0.3940344628262062,2.9642608025042527,2.0,13.0,0.0,84.0,2.0,0.5031028368794326,0.5208333333333334,599
niche,random,20,52,0.13,13,0.9166365124331152,1.0,1.0,1.0,2.872739385838432,1.635140425323255,33.0,33.0,1.0,37.0,84.0,0.47819767441860456,0.4791666666666667,600
niche,generality_descending,19,17,0.04709141274238227,1,0.9388647874771158,1.0,2.0,13.0,0.3153017676423058,2.306867448923016,-1.0,5.0,0.0,47.0,0.0,0.5122549019607844,0.375,601
niche,vulnerability_descending,19,31,0.08587257617728532,6,0.9555945142274279,1.0,1.0,2.0,1.5709348354753423,1.6736694986296652,13.0,18.0,2.0,29.0,9.0,0.5014367816091954,0.3541666666666667,602
niche,generality_ascending,20,63,0.1575,15,0.9034696600097377,1.0,1.0,0.0,2.6611236249690506,2.1588252165910684,44.0,33.0,14.0,36.0,36.0,0.5296875,0.4791666666666667,603
niche,vulnerability_ascending,20,50,0.125,15,0.9276037472024226,1.0,1.0,0.0,2.3508117299081364,1.6059101370939324,31.0,25.0,10.0,29.0,27.0,0.5466269841269842,0.5208333333333334,604
pfim,random,20,28,0.07,8,0.9162694955374036,3.0,1.0,8.0,1.4290224851827538,3.067658115858003,9.0,11.0,0.0,94.0,24.0,0.5019323671497584,0.5,605
