model,time,n_rep,bodysize_method,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
adbm,G4,81,uniform,44,1.0,1,NaN,22.000000000000004,1.0,0.0,0.0,43.02272727272727,0.0,0.0,0.0,0.0
bodymassratio,G4,81,uniform,44,1.0,1,NaN,22.000000000000004,1.0,0.0,0.0,43.02272727272727,0.0,0.0,0.0,0.0
lmatrix,G4,81,uniform,44,0.24741735537190082,2,0.7868013546278638,2.9981845610697913,3.0,1.0720115907357293,0.8479812665549769,9.909090909090908,0.031508264462809916,0.6549586776859504,1.5144628099173554,2.080578512396694
niche,G4,81,uniform,44,0.08729338842975207,6,0.9043917993292359,3.7048611111111103,2.0,1.1073625277847408,0.5860663273112747,2.8636363636363638,0.14204545454545456,0.05836776859504132,0.09762396694214875,0.2427685950413223
pfim_metaweb,G4,81,uniform,44,0.1368801652892562,3,0.8504460455213982,2.4519969691728654,3.0,1.4653071707061418,0.5932664067256673,5.045454545454546,0.1637396694214876,0.24431818181818182,0.14979338842975207,0.734504132231405
pfim_downsample,G4,81,uniform,44,0.1115702479338843,3,0.898089797402727,2.960170627961635,3.0,1.577159159416745,0.6147608498259353,3.9318181818181817,0.13171487603305784,0.14669421487603307,0.11983471074380166,0.6002066115702479
random,G4,81,uniform,44,0.1756198347107438,4,0.934715467240137,3.5490234858612776e16,1.0,0.303643283447077,0.303643283447077,6.75,0.0,0.0,0.0,0.0
adbm,G1,81,lognormal,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
bodymassratio,G1,81,lognormal,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
lmatrix,G1,81,lognormal,47,0.21955636034404707,1,0.7657914281546482,2.92277193705765,2.0,1.1975014074149894,0.9441253333442086,9.340425531914894,0.0,0.6518786781349026,1.3594386600271615,1.961068356722499
niche,G1,81,lognormal,46,0.10964083175803403,3,0.8738326757739837,5.148052558167143,2.0,1.1874180754156283,0.7707087263105326,4.065217391304348,0.24196597353497165,0.1219281663516068,0.2537807183364839,0.48062381852551983
pfim_metaweb,G1,81,lognormal,47,0.11815301041195111,4,0.8315850490246237,2.1263668482285256,3.0,1.7514742960613416,0.5464685034798675,4.574468085106383,0.07650520597555455,0.19013128112267993,0.12992304210049796,0.9071978270710729
pfim_downsample,G1,81,lognormal,47,0.08918062471706655,3,0.8994122858659157,2.60887370383376,3.0,1.9946278820559655,0.5553841335348578,3.2127659574468086,0.06654594839293798,0.08646446355817111,0.08872793119058398,0.6908103214124038
random,G1,81,lognormal,47,0.22363060208239022,3,0.932588803801497,2.7778769201312246e17,1.0,0.21720333205666817,0.21720333205666817,9.53191489361702,0.0,0.0,0.0,0.0
