model,time,n_rep,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,NDTI,NDCI
lmatrix,G4,1,44,0.23863636363636365,2,0.7751767508120078,3.7696575126262624,3.0,0.8792521979326964,1.0752423816991186,9.522727272727273,-0.645618556701031,0.14169787765293385
niche,G4,1,43,0.18063818280151434,6,0.8537294234245127,4.644585735758584,3.0,1.1473321695261187,0.5156112347206628,6.790697674418604,-0.0990990990990991,-0.5646191646191646
pfim_metaweb,G4,1,44,0.1368801652892562,3,0.8504460455213982,2.4519969691728654,3.0,1.4653071707061418,0.5932664067256673,5.045454545454546,-0.19746835443037974,-0.6612149532710281
pfim_downsample,G4,1,44,0.11053719008264463,3,0.9032484883453514,2.2347466407414562,3.0,1.5911408439368802,0.5975396447991239,3.8863636363636362,-0.031578947368421054,-0.657185628742515
random,G4,1,44,0.28202479338842973,2,0.718680678099339,7.8977300367045915,1.0,0.24536593177401866,1.452247446793249,11.431818181818182,-0.9827213822894169,0.9828403702867464
adbm,G1,2,47,0.2915346310547759,1,0.7785985624513914,4.07212041449975,2.0,0.8377895586625093,0.9677185724179072,12.72340425531915,-1.0,0.12095522388059701
bodymassratio,G1,2,47,0.18560434585785424,4,0.8329417974248701,5.922804857092168,4.0,0.6614240925257795,0.6300128356512896,7.74468085106383,0.639568345323741,-0.019586206896551724
lmatrix,G1,2,47,0.21095518334087823,2,0.8019448178102913,3.79896214896215,3.0,0.924341500942427,1.2168294380927993,8.936170212765957,-0.8102941176470588,0.20309810671256454
niche,G1,2,47,0.09053870529651425,4,0.9017466079288943,4.833333333333333,5.0,0.9456893046183643,0.5422697868581012,3.276595744680851,0.4826254826254826,-0.254601226993865
pfim_metaweb,G1,2,47,0.11815301041195111,4,0.8315850490246237,2.1263668482285256,3.0,1.7514742960613416,0.5464685034798675,4.574468085106383,-0.42614601018675724,-0.7494543867306853
pfim_downsample,G1,2,47,0.09280217292892712,4,0.8916178219135141,2.593521653453047,3.0,1.9805807875617607,0.5725234945839397,3.382978723404255,-0.2824858757062147,-0.7752192982456141
random,G1,2,47,0.18198279764599365,4,0.737643472487063,8.256894711202388,1.0,0.298384411150772,1.91457916193016,7.574468085106383,-0.9933993399339934,0.9526676354577538
adbm,G2,2,20,0.3375,1,0.7833071823576653,3.7598692810457526,2.0,0.8703392636803704,0.7954458489558156,5.8,-1.0,-0.0944055944055944
bodymassratio,G2,2,20,0.1675,4,0.916553932085522,5.041666666666667,4.0,0.6659002210772376,0.8002473501140163,2.4,0.963855421686747,0.07865168539325842
lmatrix,G2,2,20,0.235,2,0.8118367054855838,3.414285714285715,3.0,1.0516661842629322,0.9517686549086932,3.75,-0.39705882352941174,-0.07241379310344828
niche,G2,2,13,0.1952662721893491,3,0.8886449133465116,2.7333333333333334,2.0,0.7477135845563795,1.12134861304064,1.6153846153846154,-0.16666666666666666,0.423728813559322
pfim_metaweb,G2,2,20,0.175,3,0.7922802242263642,2.1722756410256414,2.0,1.4846149779161804,0.5676567244564473,2.55,-0.0963855421686747,-1.0
pfim_downsample,G2,2,20,0.1575,3,0.8360465003344212,2.0192307692307696,2.0,1.5832027278457412,0.6203422402998078,2.2,-0.08661417322834646,-0.937888198757764
random,G2,2,20,0.215,3,0.7848790429666349,3.6507936507936516,1.0,0.40702045577461426,1.6771703215521596,3.35,-1.0,0.9261538461538461
adbm,G3,2,28,0.3163265306122449,1,0.7686268131145605,3.863159793422951,2.0,0.9067285724242754,0.8163077519286865,7.892857142857143,-1.0,-0.09455587392550144
bodymassratio,G3,2,28,0.17729591836734693,4,0.8571828582813548,5.244302721088436,1.0,0.6814209620944836,0.730388082993167,4.0,0.8282208588957055,0.028785982478097622
lmatrix,G3,2,28,0.22321428571428573,2,0.818973639085612,3.461111111111111,3.0,1.1004645483713786,0.9743373816770725,5.285714285714286,-0.594306049822064,-0.08571428571428572
niche,G3,2,28,0.14668367346938777,3,0.8825680134751026,4.005386588719921,2.0,0.8178982222290044,0.7680594273257387,3.142857142857143,0.6266666666666667,-0.02766798418972332
pfim_metaweb,G3,2,28,0.13010204081632654,3,0.790610335850184,2.2574851527149327,2.0,1.6892443153121253,0.7096245515367301,2.6785714285714284,-0.21033210332103322,-0.9037433155080213
pfim_downsample,G3,2,28,0.11862244897959184,3,0.8330214849853047,2.2361188616071437,2.0,1.7556578545898578,0.7512531122590077,2.357142857142857,-0.2534562211981567,-0.8823529411764706
random,G3,2,28,0.18877551020408162,3,0.7542901430455161,5.1591818225142525,1.0,0.329126937148835,1.8585653273120903,4.321428571428571,-0.746031746031746,0.9955604883462819
adbm,G4,2,44,0.3269628099173554,1,0.7623195279779615,4.095252221303536,2.0,0.7885899888905438,0.8704082933553495,13.409090909090908,-1.0,0.08459383753501401
bodymassratio,G4,2,44,0.17613636363636365,4,0.8397085666436578,5.92864070358939,4.0,0.6210809904428689,0.5818109493932871,6.7727272727272725,0.7062196735774151,-0.023726176584986387
lmatrix,G4,2,44,0.24328512396694216,2,0.7888642618536402,3.742118962280252,3.0,0.8352132176961283,1.1087459126510406,9.727272727272727,-0.8474916387959867,0.199816961561928
niche,G4,2,44,0.10640495867768596,4,0.8938275597746872,3.9099537037037035,4.0,1.0152728916692701,0.6906182230593686,3.7045454545454546,0.4161849710982659,-0.2565789473684211
pfim_metaweb,G4,2,44,0.1368801652892562,3,0.8504460455213982,2.4519969691728654,3.0,1.4653071707061418,0.5932664067256673,5.045454545454546,-0.19746835443037974,-0.6612149532710281
